location_id,parameter,value,unit,timezone,date,daily_avg_no2
1214473,no2,0.002,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.002,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-20,0.0005714285714285715
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.001,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
1214473,no2,0.0,ppm,Asia/Tokyo,2024-02-21,0.00036363636363636367
