location_id,parameter,value,unit,timezone,date,daily_avg_no
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.001,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-20,4.761904761904762e-05
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
1214473,no,0.0,ppm,Asia/Tokyo,2024-02-21,0.0
